id,id_str,keyword,created_at,tweet_text,likes,retweeted,hashtags,clean_text_str,clean_text
1312373178581180416,1312373178581180416,rising,Sat Oct 03 12:45:23 +0000 2020,@imyourgez galak :(,0,0,[],galak,['galak']
1312093668258447360,1312093668258447360,rising,Fri Oct 02 18:14:42 +0000 2020,"@Omakoe2 @spacema09104056 Koekoek

https://t.co/aGjarBvUCo",1,2,[],koekoek,['koekoek']
1312054406280622080,1312054406280622080,rising,Fri Oct 02 15:38:41 +0000 2020,RT @nakamu_405: GANRIKI👀NEKO https://t.co/EdsS8VFw7r,0,1602,[],: ganrikineko,"[':', 'ganrikineko']"
1311908714971045889,1311908714971045889,rising,Fri Oct 02 05:59:46 +0000 2020,@paddyraffcomedy @josh_um_clark Josh 'Zola' Clarke 😯🧐😲,0,0,[],josh 'zola' clarke,"['josh', ""'zola"", ""'"", 'clarke']"
1311745415641919488,1311745415641919488,rising,Thu Oct 01 19:10:52 +0000 2020,@kathleentamu @Rising_Sunbeam Epstein? https://t.co/2Cf68828GC,1,0,[],epstein?,"['epstein', '?']"
1311684093013299222,1311684093013299222,rising,Thu Oct 01 15:07:12 +0000 2020,@heIIboyjoon @kitsch_rising @saigyouzji hi bestie 😁,0,0,[],hi bestie,"['hi', 'bestie']"
1311518658774982656,1311518658774982656,rising,Thu Oct 01 04:09:49 +0000 2020,@silveraldora HXBDJXHEJXBWHZ TODOBAKU RISING,3,0,[],hxbdjxhejxbwhz todobaku rising,"['hxbdjxhejxbwhz', 'todobaku', 'rising']"
1311507376202297345,1311507376202297345,rising,Thu Oct 01 03:24:59 +0000 2020,@rising_serpent @jellen805 ZERO,0,0,[],zero,['zero']
1311499364431400962,1311499364431400962,rising,Thu Oct 01 02:53:09 +0000 2020,@rising_serpent @QLover1745 Astute.,0,0,[],astute.,"['astute', '.']"
1311474356984393729,1311474356984393729,rising,Thu Oct 01 01:13:47 +0000 2020,@rising_serpent Zero,0,0,[],zero,['zero']
1311473989127032833,1311473989127032833,rising,Thu Oct 01 01:12:19 +0000 2020,@rising_serpent ZERO!!!,0,0,[],zero!!!,"['zero', '!', '!', '!']"
1311472435917713410,1311472435917713410,rising,Thu Oct 01 01:06:09 +0000 2020,"Ropa de 88 rising en zepeto, baia baia.",0,0,[],"ropa de rising en zepeto, baia baia.","['ropa', 'de', 'rising', 'en', 'zepeto', ',', 'baia', 'baia', '.']"
1311470399708901378,1311470399708901378,rising,Thu Oct 01 00:58:03 +0000 2020,@rising_serpent Zero,0,0,[],zero,['zero']
1311467545543815174,1311467545543815174,rising,Thu Oct 01 00:46:43 +0000 2020,@rising_serpent @Really_FUBAR Zero.,1,0,[],zero.,"['zero', '.']"
1311458389168357377,1311458389168357377,rising,Thu Oct 01 00:10:20 +0000 2020,@rising_serpent ZERO.,1,0,[],zero.,"['zero', '.']"
1312793926085083137,1312793926085083137,sea,Sun Oct 04 16:37:17 +0000 2020,@imprinths91 alabado sea satan,1,0,[],alabado sea satan,"['alabado', 'sea', 'satan']"
1312789695013810176,1312789695013810176,sea,Sun Oct 04 16:20:28 +0000 2020,"""¡RESPIRA, MALDITA SEA!"" https://t.co/RqLrlYXDbs",0,0,[],"""respira, maldita sea!""","['``', 'respira', ',', 'maldita', 'sea', '!', ""''""]"
